Date,Country,Commodities
Nov-26-21,"Dubai,UnitedArabEmirates",Bbq Charcoal
Nov-22-21,UnitedArabEmirates,Charcoal
Nov-22-21,UnitedKingdom,Charcoal
Nov-25-21,"Doha,Qatar,Qatar",Sawdust Charcoal
Nov-19-21,Qatar,Charcoal
Nov-17-21,Spain,Charcoal
Nov-17-21,"Sharjah,UnitedArabEmirates",Charcoal
Nov-15-21,"UnitedArabEmirates,UnitedArabEmirates",Charcoal
Nov-10-21,Bulgaria,Charcoal
Nov-10-21,Israel,Charcoal
Nov-05-21,"Germany,Germany",Charcoal
Nov-25-21,Spain,Coconut Shell Charcoal
Nov-24-21,Indonesia,Palm Kernel Shell Charcoal
Nov-23-21,Kuwait,Wood Charcoal
Nov-22-21,"Buraidah,Gassim,SaudiArabia",Coconut Charcoal Briquette
Nov-24-21,UnitedStates,Coconut Shell Charcoal
Nov-15-21,Norway,Charcoal Powder
Nov-12-21,Malta,Charcoal Lumps
Nov-12-21,Oman,Bbq Charcoal
Nov-12-21,Turkey,Shisha Charcoal
Nov-09-21,India,Shisha Charcoal
Nov-03-21,Cyprus,Briquette Charcoal
Oct-29-21,Egypt,Activated Rose Charcoal
Oct-28-21,UnitedKingdom,Coconut Shisha Charcoal
Oct-28-21,Latvia,Oak Charcoal
Oct-28-21,Greece,Bbq Charcoal
Oct-25-21,Ukraine,Charcoal
Oct-19-21,UnitedArabEmirates,Charcoal
Oct-13-21,UnitedArabEmirates,Charcoal
Oct-12-21,Qatar,Charcoal
Oct-11-21,Jordan,Charcoal
Sep-30-21,Belgium,Charcoal
Sep-30-21,Jordan,Charcoal
Sep-29-21,SaudiArabia,Charcoal
Sep-29-21,"Bedford,NotSpecified,UnitedKingdom",Charcoal
Sep-02-21,"Athens,Attiki,Greece",Charcoal
Sep-01-21,Qatar,Charcoal
Nov-19-21,Poland,Hardwood Charcoal Dust
Nov-19-21,SaudiArabia,Wood Charcoal
Nov-17-21,UnitedArabEmirates,Coconut Shell Charcoal
Nov-12-21,"Surabaya,EastJava,Indonesia",Shisha Briquette Charcoal
Nov-08-21,UnitedArabEmirates,Hardwood Charcoal
Nov-08-21,Lebanon,Bamboo Natural Charcoal
Nov-02-21,Kuwait,Charcoal Briquette
Nov-01-21,Spain,Coconut Charcoal Briquette
Nov-01-21,"Jeddah,Makkah,SaudiArabia",Sawdust Briquette Charcoal
Oct-07-21,Indonesia,Charcoal
Oct-26-21,"Dubai,UnitedArabEmirates",Wood Charcoal And Bbq Charcoal
Nov-17-21,Canada,Hardwood Charcoal
Nov-10-21,"Qatar,Qatar",Hardwood Charcoal
Nov-09-21,"London,London,UnitedKingdom",Hardwood Charcoal
Nov-09-21,Oman,Wood Charcoal
Nov-19-21,"JuncarilPeligros,Granada,Spain",Coconut Charcoal Briquettes
Nov-16-21,"Kyiv,Indonesia",Coconut Charcoal Shell
Oct-27-21,Kuwait,Beech Charcoal
Oct-12-21,Turkey,Sawdust Charcoal
Oct-06-21,India,Palm Shell Charcoal
Oct-05-21,Italy,Yutastick Charcoal Powder
Sep-28-21,SaudiArabia,Natural Charcoal
Sep-23-21,UnitedArabEmirates,Bbq Charcoal
Sep-22-21,Qatar,Bbq Charcoal
Sep-22-21,UnitedArabEmirates,Hookah Shisha Charcoal
Sep-20-21,"BistritaNasaud,Romania",Brown Charcoal Bricks
Sep-17-21,Jordan,Hookah Charcoal
Sep-14-21,"Abha,SaudiArabia",Activated Charcoal Powder
Sep-14-21,Australia,Bbq Charcoal
Sep-09-21,SriLanka,Shisha Charcoal
Sep-08-21,"Mississauga,Ontario,Canada",Lump Charcoal And Briquette
Sep-02-21,Sweden,Briquette Shisha Charcoal
Sep-01-21,Australia,Bbq Charcoal
Aug-31-21,UnitedArabEmirates,Malaysian Shisha Charcoal
Sep-01-21,India,Wooden Charcoal And Hardwood Briquette Charcoal
Oct-27-21,Israel,Hardwood Charcoal
Oct-18-21,Jordan,Hardwood Briquettes Charcoal
Oct-14-21,Australia,Hardwood Charcoal
Sep-30-21,"Nablus,Palestine,Palestine",Bbq Hardwood Charcoal
Sep-30-21,India,Hardwood Charcoal
Sep-29-21,UnitedKingdom,Hardwood Charcoal
Sep-23-21,"Oman,Oman",Sawdust Charcoal
Sep-14-21,Qatar,Hardwood Charcoal
Sep-13-21,Germany,Coconut Charcoal
Sep-09-21,Greece,Wood Charcoal
Oct-27-21,"Amsterdam,Netherlands",Bbq Briquette Charcoal
Sep-02-21,Cyprus,Wood Charcoal
Oct-26-21,UnitedArabEmirates,Wood Charcoal
Oct-21-21,SaudiArabia,Wood Charcoal
Oct-21-21,Romania,Wood Charcoal
Oct-19-21,Spain,Eucalyptus Wood Charcoal
Oct-27-21,Jordan,Coconut Shell Charcoal
Oct-27-21,"AlBustan,Ajman,UnitedArabEmirates",Coconut Shell Charcoal
Oct-11-21,Turkey,Coconut Shell Charcoal
Oct-06-21,Netherlands,Briquette Sawdust Charcoal
Oct-06-21,Jordan,Coconut Shell Charcoal
Oct-04-21,Thailand,Coconut Shell Charcoal
Sep-29-21,India,Coconut Shell Charcoal
Sep-28-21,Mexico,Coconut Shell Charcoal
Sep-15-21,Jordan,Coconut Charcoal
Aug-31-21,SaudiArabia,Natural Coconut Charcoal
Oct-25-21,SaudiArabia,African Hard Wood Charcoal
Sep-22-21,UnitedStates,Barbeque And Hookah Wood Charcoal
Sep-16-21,Jordan,Coconut Charcoal Production Machine
Nov-15-21,"Sohar,Oman",Charcoal Extruder Machine
Oct-28-21,"MetroManila,Philippines",Charcoal Bbq Grill
Oct-04-21,Thailand,Charcoal Bags
Sep-15-21,Bahrain,Kraft Paper Bag For Barbecue Charcoal
Sep-24-21,Norway,Genuine Binchotan Charcoal For Water Purification Or Water Filter
Nov-16-21,Bangladesh,Jute Stick Ash
Oct-04-21,"London,UnitedKingdom",Barbecue Bbq Or Grill Coal
